,Application#,Application Type,Date,Status,ProjectName
149,14 204179 PLB 00,Plumbing(PS),"Aug 11, 2014",Permit Issued,55 BLOOR ST W
150,14 150928 BLD 00,Building Additions/Alterations,"May 2, 2014",Inspection,55 BLOOR ST W
151,14 123690 BLD 00,Building Additions/Alterations,"Mar 3, 2014",Permit Issued,55 BLOOR ST W
152,14 123690 HVA 00,Mechanical(MS),"Mar 3, 2014",Permit Issued,55 BLOOR ST W
0,21 144504 BLD 00,Building Additions/Alterations,"Apr 22, 2021",Permit Issued,55 BLOOR ST E
0,22 234714 FSU 00,Fire/Security Upgrade,"Feb 15, 2023",Closed,60 BLOOR ST W
1,23 107641 BLD 00,Building Additions/Alterations,"Jan 27, 2023",Permit Issued,60 BLOOR ST W
2,23 107641 HVA 00,Mechanical(MS),"Jan 27, 2023",Permit Issued,60 BLOOR ST W
3,23 107641 PLB 00,Plumbing(PS),"Jan 27, 2023",Permit Issued,60 BLOOR ST W
4,22 234714 HVA 00,Mechanical(MS),"Dec 2, 2022",Inspection,60 BLOOR ST W
5,22 234714 BLD 00,Building Additions/Alterations,"Nov 30, 2022",Inspection,60 BLOOR ST W
6,22 229304 HVA 00,Mechanical(MS),"Nov 23, 2022",Permit Issued,60 BLOOR ST W
7,22 229304 PLB 00,Plumbing(PS),"Nov 23, 2022",Permit Issued,60 BLOOR ST W
8,22 229304 BLD 00,Building Additions/Alterations,"Nov 21, 2022",Inspection,60 BLOOR ST W
9,22 229430 HVA 00,Mechanical(MS),"Nov 16, 2022",Permit Issued,60 BLOOR ST W
10,22 229430 PLB 00,Plumbing(PS),"Nov 16, 2022",Inspection,60 BLOOR ST W
11,22 229430 BLD 00,Building Additions/Alterations,"Nov 15, 2022",Inspection,60 BLOOR ST W
12,22 217066 BLD 00,Building Additions/Alterations,"Oct 18, 2022",Inspection,60 BLOOR ST W
13,22 217066 HVA 00,Mechanical(MS),"Oct 18, 2022",Permit Issued,60 BLOOR ST W
14,22 156677 DST 00,Designated Structures,"Jun 9, 2022",Permit Issued,60 BLOOR ST W
15,22 156677 SGN 00,Sign Permit,"Jun 7, 2022",Permit Issued,60 BLOOR ST W
16,21 236754 HVA 00,Mechanical(MS),"Nov 16, 2021",Inspection,60 BLOOR ST W
17,20 182948 HVA 01,Mechanical(MS),"Oct 20, 2020",Revision Issued,60 BLOOR ST W
18,20 182948 HVA 00,Mechanical(MS),"Aug 25, 2020",Permit Issued,60 BLOOR ST W
19,20 182948 BLD 00,Building Additions/Alterations,"Aug 20, 2020",Permit Issued,60 BLOOR ST W
20,18 271670 FSU 01,Fire/Security Upgrade,"Apr 16, 2020",Revision Issued,60 BLOOR ST W
21,19 151262 HVA 00,Mechanical(MS),"May 9, 2019",Permit Issued,60 BLOOR ST W
22,19 151262 BLD 00,Building Additions/Alterations,"May 8, 2019",Permit Issued,60 BLOOR ST W
23,18 114800 HVA 02,Mechanical(MS),"Feb 20, 2019",Revision Issued,60 BLOOR ST W
24,19 113502 HVA 00,Mechanical(MS),"Feb 13, 2019",Inspection,60 BLOOR ST W
25,18 271670 FSU 00,Fire/Security Upgrade,"Jan 4, 2019",Inspection,60 BLOOR ST W
26,18 225165 BLD 00,Building Additions/Alterations,"Sep 19, 2018",Permit Issued,60 BLOOR ST W
27,18 196809 BLD 00,Building Additions/Alterations,"Jul 19, 2018",Inspection,60 BLOOR ST W
28,18 114800 HVA 01,Mechanical(MS),"Jun 4, 2018",Revision Issued,60 BLOOR ST W
29,18 132794 HVA 00,Mechanical(MS),"Mar 27, 2018",Permit Issued,60 BLOOR ST W
30,18 114800 HVA 00,Mechanical(MS),"Feb 12, 2018",Inspection,60 BLOOR ST W
31,17 262817 MSA 00,Mechanical(MS),"Nov 21, 2017",Inspection,60 BLOOR ST W
32,17 211410 BLD 00,Building Additions/Alterations,"Aug 4, 2017",Inspection,60 BLOOR ST W
33,17 211410 HVA 00,Mechanical(MS),"Aug 4, 2017",Inspection,60 BLOOR ST W
34,17 211410 PLB 00,Plumbing(PS),"Aug 4, 2017",Inspection,60 BLOOR ST W
35,16 136722 MSA 00,Mechanical(MS),"Apr 22, 2016",Inspection,60 BLOOR ST W
36,15 215176 FSU 00,Fire/Security Upgrade,"Aug 31, 2015",Inspection,60 BLOOR ST W
37,15 143083 BLD 00,Building Additions/Alterations,"Apr 17, 2015",Permit Issued,60 BLOOR ST W
38,15 143083 HVA 00,Mechanical(MS),"Apr 17, 2015",Permit Issued,60 BLOOR ST W
39,15 143083 PLB 00,Plumbing(PS),"Apr 17, 2015",Permit Issued,60 BLOOR ST W
40,14 247546 BLD 00,Building Additions/Alterations,"Nov 12, 2014",Inspection,60 BLOOR ST W
41,14 247546 HVA 00,Mechanical(MS),"Nov 12, 2014",Work Not Started,60 BLOOR ST W
42,14 130164 HVA 00,Mechanical(MS),"Mar 19, 2014",Permit Issued,60 BLOOR ST W
43,14 130185 HVA 00,Mechanical(MS),"Mar 19, 2014",Permit Issued,60 BLOOR ST W
44,14 129524 BLD 00,Building Additions/Alterations,"Mar 17, 2014",Inspection,60 BLOOR ST W
45,14 129524 HVA 00,Mechanical(MS),"Mar 17, 2014",Permit Issued,60 BLOOR ST W
46,14 129524 PLB 00,Plumbing(PS),"Mar 17, 2014",Inspection,60 BLOOR ST W
0,18 185699 BLD 00,Building Additions/Alterations,"Jun 28, 2018",Inspection,66 BLOOR ST W
0,22 239008 HVA 00,Mechanical(MS),"Dec 20, 2022",Permit Issued,69 BLOOR ST E
1,22 239008 PLB 00,Plumbing(PS),"Dec 20, 2022",Permit Issued,69 BLOOR ST E
2,22 239008 BLD 00,Building Additions/Alterations,"Dec 19, 2022",Permit Issued,69 BLOOR ST E
3,21 229090 BLD 02,Building Additions/Alterations,"Dec 7, 2022",Revision Issued,69 BLOOR ST E
4,21 229090 HVA 01,Mechanical(MS),"Dec 7, 2022",Revision Issued,69 BLOOR ST E
5,21 229090 PLB 01,Plumbing(PS),"Dec 7, 2022",Revision Issued,69 BLOOR ST E
6,22 204521 BLD 00,Building Additions/Alterations,"Sep 19, 2022",Permit Issued,69 BLOOR ST E
7,22 204521 PLB 00,Plumbing(PS),"Sep 19, 2022",Permit Issued,69 BLOOR ST E
8,22 147843 FSU 00,Fire/Security Upgrade,"Jun 6, 2022",Permit Issued,69 BLOOR ST E
9,21 229090 BLD 01,Building Additions/Alterations,"Feb 1, 2022",Revision Issued,69 BLOOR ST E
10,21 229090 HVA 00,Mechanical(MS),"Oct 29, 2021",Inspection,69 BLOOR ST E
11,21 229090 PLB 00,Plumbing(PS),"Oct 29, 2021",Inspection,69 BLOOR ST E
12,21 229090 BLD 00,Building Additions/Alterations,"Oct 27, 2021",Inspection,69 BLOOR ST E
13,14 195370 FSU 00,Fire/Security Upgrade,"Jul 29, 2014",Inspection,69 BLOOR ST E
0,22 167821 HVA 01,Mechanical(MS),"Dec 6, 2022",Revision Issued,77 BLOOR ST W
1,22 167821 BLD 01,Building Additions/Alterations,"Oct 17, 2022",Revision Issued,77 BLOOR ST W
2,22 167821 HVA 00,Mechanical(MS),"Jul 12, 2022",Permit Issued,77 BLOOR ST W
3,22 167821 BLD 00,Building Additions/Alterations,"Jun 29, 2022",Inspection,77 BLOOR ST W
4,22 147347 HVA 00,Mechanical(MS),"May 25, 2022",Permit Issued,77 BLOOR ST W
5,22 147347 PLB 00,Plumbing(PS),"May 25, 2022",Permit Issued,77 BLOOR ST W
6,22 147347 BLD 00,Building Additions/Alterations,"May 24, 2022",Permit Issued,77 BLOOR ST W
7,22 112451 BLD 00,Building Additions/Alterations,"Feb 10, 2022",Permit Issued,77 BLOOR ST W
8,22 112451 HVA 00,Mechanical(MS),"Feb 10, 2022",Inspection,77 BLOOR ST W
9,22 112451 PLB 00,Plumbing(PS),"Feb 10, 2022",Inspection,77 BLOOR ST W
10,21 236763 BLD 00,Building Additions/Alterations,"Nov 15, 2021",Inspection,77 BLOOR ST W
11,21 236763 HVA 00,Mechanical(MS),"Nov 15, 2021",Permit Issued,77 BLOOR ST W
12,18 154980 HVA 00,Mechanical(MS),"May 8, 2018",Inspection,77 BLOOR ST W
13,18 154980 PLB 00,Plumbing(PS),"May 8, 2018",Inspection,77 BLOOR ST W
14,17 146019 BLD 00,Building Additions/Alterations,"Apr 19, 2017",Inspection,77 BLOOR ST W
15,17 146019 PLB 00,Plumbing(PS),"Apr 19, 2017",Inspection,77 BLOOR ST W
16,16 252557 HVA 00,Mechanical(MS),"Nov 21, 2016",Inspection,77 BLOOR ST W
17,16 252579 HVA 00,Mechanical(MS),"Nov 21, 2016",Inspection,77 BLOOR ST W
18,16 252557 BLD 00,Building Additions/Alterations,"Nov 17, 2016",Inspection,77 BLOOR ST W
19,16 186421 BLD 00,Building Additions/Alterations,"Jul 7, 2016",Inspection,77 BLOOR ST W
20,16 175945 BLD 00,Building Additions/Alterations,"Jun 21, 2016",Inspection,77 BLOOR ST W
21,15 173523 FSU 02,Fire/Security Upgrade,"May 13, 2016",Revision Issued,77 BLOOR ST W
22,16 152523 HVA 00,Mechanical(MS),"May 9, 2016",Inspection,77 BLOOR ST W
23,16 139880 HVA 00,Mechanical(MS),"Apr 14, 2016",Permit Issued,77 BLOOR ST W
24,15 262831 BLD 01,Building Additions/Alterations,"Apr 13, 2016",Revision Issued,77 BLOOR ST W
25,16 139880 BLD 00,Building Additions/Alterations,"Apr 13, 2016",Inspection,77 BLOOR ST W
26,15 262831 HVA 00,Mechanical(MS),"Dec 10, 2015",Inspection,77 BLOOR ST W
27,15 262831 PLB 00,Plumbing(PS),"Dec 10, 2015",Permit Issued,77 BLOOR ST W
28,15 262831 BLD 00,Building Additions/Alterations,"Dec 9, 2015",Inspection,77 BLOOR ST W
29,15 253286 BLD 00,Building Additions/Alterations,"Dec 2, 2015",Inspection,77 BLOOR ST W
30,15 244296 BLD 00,Building Additions/Alterations,"Oct 29, 2015",Permit Issued,77 BLOOR ST W
31,15 140144 HVA 00,Mechanical(MS),"Apr 14, 2015",Inspection,77 BLOOR ST W
32,15 140144 BLD 00,Building Additions/Alterations,"Apr 13, 2015",Inspection,77 BLOOR ST W
33,15 127186 BLD 00,Building Additions/Alterations,"Mar 13, 2015",Permit Issued,77 BLOOR ST W
34,14 231346 TPS 00,Temporary Structures,"Oct 2, 2014",Permit Issued,77 BLOOR ST W
35,13 243306 BLD 00,Building Additions/Alterations,"Sep 30, 2013",Inspection,77 BLOOR ST W
0,17 159002 PSA 00,Plumbing(PS),"May 15, 2017",Permit Issued,80 BLOOR ST W
1,17 134856 BLD 00,Building Additions/Alterations,"Apr 11, 2017",Permit Issued,80 BLOOR ST W
2,16 195425 BLD 00,Building Additions/Alterations,"Jul 22, 2016",Inspection,80 BLOOR ST W
3,14 141692 BLD 00,Building Additions/Alterations,"Apr 11, 2014",Inspection,80 BLOOR ST W
4,14 141692 PLB 00,Plumbing(PS),"Apr 11, 2014",Inspection,80 BLOOR ST W
5,13 266615 BLD 00,Building Additions/Alterations,"Nov 18, 2013",Inspection,80 BLOOR ST W
6,13 266615 HVA 00,Mechanical(MS),"Nov 18, 2013",Permit Issued,80 BLOOR ST W
7,13 192984 FSU 01,Fire/Security Upgrade,"Aug 23, 2013",Revision Issued,80 BLOOR ST W
8,13 201249 BLD 00,Building Additions/Alterations,"Jul 9, 2013",Inspection,80 BLOOR ST W
9,13 192984 FSU 00,Fire/Security Upgrade,"Jun 24, 2013",Permit Issued,80 BLOOR ST W
0,18 197156 HVA 00,Mechanical(MS),"Jul 24, 2018",Permit Issued,82 BLOOR ST W
1,18 197156 BLD 00,Building Additions/Alterations,"Jul 20, 2018",Permit Issued,82 BLOOR ST W
2,17 160612 BLD 01,Building Additions/Alterations,"Feb 13, 2018",Revision Issued,82 BLOOR ST W
3,17 160612 HVA 01,Mechanical(MS),"Feb 13, 2018",Revision Issued,82 BLOOR ST W
4,17 160612 BLD 00,Building Additions/Alterations,"May 16, 2017",Inspection,82 BLOOR ST W
5,17 160612 HVA 00,Mechanical(MS),"May 16, 2017",Inspection,82 BLOOR ST W
0,22 173249 SGN 00,Sign Permit,"Jul 7, 2022",Permit Issued,83 BLOOR ST W
1,22 173249 DST 00,Designated Structures,"Jul 7, 2022",Permit Issued,83 BLOOR ST W
0,14 261734 BLD 00,Building Additions/Alterations,"Dec 9, 2014",Inspection,85 BLOOR ST E
0,17 169047 BLD 01,Building Additions/Alterations,"Oct 4, 2017",Revision Issued,91 BLOOR ST W
1,17 169047 PLB 00,Plumbing(PS),"Jun 26, 2017",Inspection,91 BLOOR ST W
2,17 169047 HVA 00,Mechanical(MS),"Jun 9, 2017",Inspection,91 BLOOR ST W
3,17 169047 BLD 00,Building Additions/Alterations,"Jun 5, 2017",Inspection,91 BLOOR ST W
0,17 130513 BLD 01,Building Additions/Alterations,"Jul 6, 2017",Revision Issued,93 BLOOR ST W
1,17 130513 BLD 00,Building Additions/Alterations,"Mar 20, 2017",Inspection,93 BLOOR ST W
0,22 215294 BLD 00,Building Additions/Alterations,"Oct 11, 2022",Permit Issued,100 BLOOR ST W
1,22 215304 BLD 00,Building Additions/Alterations,"Oct 11, 2022",Inspection,100 BLOOR ST W
2,22 215304 PLB 00,Plumbing(PS),"Oct 11, 2022",Permit Issued,100 BLOOR ST W
3,22 215304 HVA 00,Mechanical(MS),"Oct 11, 2022",Permit Issued,100 BLOOR ST W
4,22 207732 BLD 00,Building Additions/Alterations,"Sep 23, 2022",Permit Issued,100 BLOOR ST W
5,22 207732 PLB 00,Plumbing(PS),"Sep 23, 2022",Permit Issued,100 BLOOR ST W
6,22 145655 HVA 00,Mechanical(MS),"May 20, 2022",Permit Issued,100 BLOOR ST W
7,22 145655 PLB 00,Plumbing(PS),"May 20, 2022",Inspection,100 BLOOR ST W
8,22 145655 BLD 00,Building Additions/Alterations,"May 19, 2022",Inspection,100 BLOOR ST W
9,18 241703 HVA 00,Mechanical(MS),"Oct 16, 2018",Inspection,100 BLOOR ST W
0,22 159407 BLD 01,Building Additions/Alterations,"Mar 22, 2023",Not Started,101 BLOOR ST W
1,22 159407 HVA 01,Mechanical(MS),"Mar 22, 2023",Not Started,101 BLOOR ST W
2,22 159407 PLB 01,Plumbing(PS),"Mar 22, 2023",Not Started,101 BLOOR ST W
3,22 221167 BLD 00,Building Additions/Alterations,"Nov 3, 2022",Permit Issued,101 BLOOR ST W
4,22 159407 HVA 00,Mechanical(MS),"Jun 20, 2022",Inspection,101 BLOOR ST W
5,22 159407 PLB 00,Plumbing(PS),"Jun 20, 2022",Inspection,101 BLOOR ST W
6,22 159407 BLD 00,Building Additions/Alterations,"Jun 16, 2022",Permit Issued,101 BLOOR ST W
7,22 128578 SGN 00,Sign Permit,"Mar 30, 2022",Permit Issued,101 BLOOR ST W
8,22 128578 DST 00,Designated Structures,"Mar 30, 2022",Permit Issued,101 BLOOR ST W
9,22 105167 HVA 00,Mechanical(MS),"Jan 28, 2022",Inspection,101 BLOOR ST W
10,22 105167 PLB 00,Plumbing(PS),"Jan 28, 2022",Inspection,101 BLOOR ST W
11,22 105167 BLD 00,Building Additions/Alterations,"Jan 19, 2022",Inspection,101 BLOOR ST W
12,22 102143 BLD 00,Building Additions/Alterations,"Jan 18, 2022",Response Received,101 BLOOR ST W
13,21 249543 BLD 00,Building Additions/Alterations,"Jan 11, 2022",Permit Issued,101 BLOOR ST W
14,16 147039 MSA 00,Mechanical(MS),"Apr 29, 2016",Inspection,101 BLOOR ST W
0,21 142040 FSU 00,Fire/Security Upgrade,"May 13, 2021",Permit Issued,102 BLOOR ST W
1,16 125288 BLD 01,Building Additions/Alterations,"Apr 13, 2016",Revision Issued,102 BLOOR ST W
2,16 125288 BLD 00,Building Additions/Alterations,"Mar 9, 2016",Inspection,102 BLOOR ST W
0,21 165113 BLD 03,Building Additions/Alterations,"Mar 1, 2023",Under Review,110 BLOOR ST W
1,21 165113 HVA 03,Mechanical(MS),"Mar 1, 2023",Not Started,110 BLOOR ST W
2,21 165113 PLB 03,Plumbing(PS),"Mar 1, 2023",Not Started,110 BLOOR ST W
3,23 100697 HVA 00,Mechanical(MS),"Jan 13, 2023",Permit Issued,110 BLOOR ST W
4,23 100697 PLB 00,Plumbing(PS),"Jan 13, 2023",Permit Issued,110 BLOOR ST W
5,21 165113 BLD 02,Building Additions/Alterations,"Jan 6, 2023",Revision Issued,110 BLOOR ST W
6,21 165113 PLB 02,Plumbing(PS),"Jan 6, 2023",Issuance Pending,110 BLOOR ST W
7,23 100697 BLD 00,Building Additions/Alterations,"Jan 4, 2023",Permit Issued,110 BLOOR ST W
8,21 165113 HVA 02,Mechanical(MS),"Dec 22, 2022",Revision Issued,110 BLOOR ST W
9,21 194226 BLD 02,Building Additions/Alterations,"Jun 29, 2022",Revision Issued,110 BLOOR ST W
10,21 165113 BLD 01,Building Additions/Alterations,"Jun 21, 2022",Revision Issued,110 BLOOR ST W
11,21 165113 PLB 01,Plumbing(PS),"Jun 21, 2022",Revision Issued,110 BLOOR ST W
12,21 165113 HVA 01,Mechanical(MS),"Jun 21, 2022",Revision Issued,110 BLOOR ST W
13,22 126838 BLD 01,Building Additions/Alterations,"Jun 16, 2022",Revision Issued,110 BLOOR ST W
14,22 129533 BLD 00,Building Additions/Alterations,"Apr 29, 2022",Permit Issued,110 BLOOR ST W
15,22 126838 HVA 00,Mechanical(MS),"Mar 29, 2022",Permit Issued,110 BLOOR ST W
16,22 126838 PLB 00,Plumbing(PS),"Mar 28, 2022",Permit Issued,110 BLOOR ST W
17,22 126838 BLD 00,Building Additions/Alterations,"Mar 25, 2022",Permit Issued,110 BLOOR ST W
18,22 123079 HVA 00,Mechanical(MS),"Mar 21, 2022",Examiner's Notice Sent,110 BLOOR ST W
19,22 123079 PLB 00,Plumbing(PS),"Mar 21, 2022",Permit Issued,110 BLOOR ST W
20,22 123079 BLD 00,Building Additions/Alterations,"Mar 18, 2022",Permit Issued,110 BLOOR ST W
21,21 194226 BLD 01,Building Additions/Alterations,"Dec 20, 2021",Revision Issued,110 BLOOR ST W
22,21 243693 BLD 00,Building Additions/Alterations,"Dec 8, 2021",Permit Issued,110 BLOOR ST W
23,21 243693 HVA 00,Mechanical(MS),"Dec 8, 2021",Permit Issued,110 BLOOR ST W
24,21 194226 BLD 00,Building Additions/Alterations,"Aug 9, 2021",Inspection,110 BLOOR ST W
25,21 194226 HVA 00,Mechanical(MS),"Aug 9, 2021",Permit Issued,110 BLOOR ST W
26,21 194226 PLB 00,Plumbing(PS),"Aug 9, 2021",Permit Issued,110 BLOOR ST W
27,21 185050 BLD 00,Building Additions/Alterations,"Jul 16, 2021",Inspection,110 BLOOR ST W
28,21 185050 HVA 00,Mechanical(MS),"Jul 16, 2021",Inspection,110 BLOOR ST W
29,21 185050 PLB 00,Plumbing(PS),"Jul 16, 2021",Inspection,110 BLOOR ST W
30,21 165113 HVA 00,Mechanical(MS),"Jun 28, 2021",Inspection,110 BLOOR ST W
31,21 165113 PLB 00,Plumbing(PS),"Jun 28, 2021",Inspection,110 BLOOR ST W
32,21 173855 BLD 00,Building Additions/Alterations,"Jun 22, 2021",Inspection,110 BLOOR ST W
33,21 165113 BLD 00,Building Additions/Alterations,"Jun 17, 2021",Inspection,110 BLOOR ST W
34,21 112239 BLD 00,Building Additions/Alterations,"Feb 3, 2021",Inspection,110 BLOOR ST W
35,16 133421 PLB 00,Plumbing(PS),"Aug 18, 2016",Inspection,110 BLOOR ST W
36,16 133415 BLD 00,Building Additions/Alterations,"Mar 30, 2016",Inspection,110 BLOOR ST W
37,16 133421 BLD 00,Building Additions/Alterations,"Mar 30, 2016",Permit Issued,110 BLOOR ST W
38,15 266862 BLD 00,Building Additions/Alterations,"Dec 18, 2015",Permit Issued,110 BLOOR ST W
39,15 125194 HVA 00,Mechanical(MS),"Mar 9, 2015",Inspection,110 BLOOR ST W
40,14 170885 HVA 00,Mechanical(MS),"Jun 11, 2014",Inspection,110 BLOOR ST W
41,13 255298 BLD 00,Building Additions/Alterations,"Oct 23, 2013",Inspection,110 BLOOR ST W
42,13 221863 HVA 00,Mechanical(MS),"Sep 3, 2013",Inspection,110 BLOOR ST W
43,13 221863 BLD 00,Building Additions/Alterations,"Aug 29, 2013",Inspection,110 BLOOR ST W
44,12 237176 BLD 02,Building Additions/Alterations,"Jul 24, 2013",Revision Issued,110 BLOOR ST W
45,12 237176 BLD 01,Building Additions/Alterations,"Mar 27, 2013",Revision Issued,110 BLOOR ST W
46,12 237176 HVA 00,Mechanical(MS),"Mar 26, 2013",Inspection,110 BLOOR ST W
0,18 168903 MSA 00,Mechanical(MS),"May 31, 2018",Inspection,111 BLOOR ST W
1,16 259992 PSA 00,Plumbing(PS),"Dec 5, 2016",Inspection,111 BLOOR ST W
2,16 252133 PSA 00,Plumbing(PS),"Nov 23, 2016",Permit Issued,111 BLOOR ST W
0,18 156250 FSU 00,Fire/Security Upgrade,"May 10, 2018",Inspection,117 BLOOR ST E
0,23 119139 BLD 00,Building Additions/Alterations,"Mar 3, 2023",Under Review,120 BLOOR ST E
1,23 119139 HVA 00,Mechanical(MS),"Mar 3, 2023",Not Started,120 BLOOR ST E
2,22 222870 BLD 01,Building Additions/Alterations,"Feb 9, 2023",Revision Issued,120 BLOOR ST E
3,22 234751 FSU 00,Fire/Security Upgrade,"Dec 5, 2022",Permit Issued,120 BLOOR ST E
4,22 222870 BLD 00,Building Additions/Alterations,"Oct 27, 2022",Permit Issued,120 BLOOR ST E
5,22 197546 BLD 00,Building Additions/Alterations,"Sep 7, 2022",Permit Issued,120 BLOOR ST E
6,22 197546 HVA 00,Mechanical(MS),"Sep 7, 2022",Permit Issued,120 BLOOR ST E
7,22 178829 BLD 00,Building Additions/Alterations,"Jul 21, 2022",Closed,120 BLOOR ST E
8,22 178829 HVA 00,Mechanical(MS),"Jul 21, 2022",Closed,120 BLOOR ST E
9,17 143667 BLD 00,Building Additions/Alterations,"Apr 13, 2017",Closed,120 BLOOR ST E
10,17 107663 HVA 00,Mechanical(MS),"Jan 30, 2017",Inspection,120 BLOOR ST E
11,17 107663 PLB 00,Plumbing(PS),"Jan 30, 2017",Inspection,120 BLOOR ST E
12,17 107663 BLD 00,Building Additions/Alterations,"Jan 24, 2017",Inspection,120 BLOOR ST E
13,16 185748 BLD 00,Building Additions/Alterations,"Jul 12, 2016",Inspection,120 BLOOR ST E
14,16 153099 BLD 00,Building Additions/Alterations,"May 10, 2016",Inspection,120 BLOOR ST E
15,16 153099 HVA 00,Mechanical(MS),"May 10, 2016",Inspection,120 BLOOR ST E
16,16 153099 PLB 00,Plumbing(PS),"May 10, 2016",Inspection,120 BLOOR ST E
17,14 268812 BLD 00,Building Additions/Alterations,"Dec 31, 2014",Inspection,120 BLOOR ST E
18,14 268812 HVA 00,Mechanical(MS),"Dec 31, 2014",Inspection,120 BLOOR ST E
19,14 268812 PLB 00,Plumbing(PS),"Dec 31, 2014",Inspection,120 BLOOR ST E
20,14 180443 BLD 00,Building Additions/Alterations,"Jun 26, 2014",Permit Issued,120 BLOOR ST E
21,13 145511 BLD 00,Building Additions/Alterations,"Apr 5, 2013",Inspection,120 BLOOR ST E
0,23 112361 HVA 00,Mechanical(MS),"Feb 16, 2023",Permit Issued,121 BLOOR ST E
1,23 112361 BLD 00,Building Additions/Alterations,"Feb 9, 2023",Permit Issued,121 BLOOR ST E
2,22 221010 HVA 00,Mechanical(MS),"Oct 25, 2022",Inspection,121 BLOOR ST E
3,22 221010 PLB 00,Plumbing(PS),"Oct 25, 2022",Closed,121 BLOOR ST E
4,22 221010 BLD 00,Building Additions/Alterations,"Oct 24, 2022",Inspection,121 BLOOR ST E
5,22 213949 PLB 00,Plumbing(PS),"Oct 13, 2022",Permit Issued,121 BLOOR ST E
6,22 213949 BLD 00,Building Additions/Alterations,"Oct 7, 2022",Permit Issued,121 BLOOR ST E
7,22 213949 HVA 00,Mechanical(MS),"Oct 7, 2022",Permit Issued,121 BLOOR ST E
8,22 210155 SGN 00,Sign Permit,"Sep 28, 2022",Permit Issued,121 BLOOR ST E
9,22 210155 DST 00,Designated Structures,"Sep 28, 2022",Permit Issued,121 BLOOR ST E
10,21 190595 FSU 00,Fire/Security Upgrade,"Aug 9, 2021",Permit Issued,121 BLOOR ST E
11,21 186294 DST 00,Designated Structures,"Jul 23, 2021",Closed,121 BLOOR ST E
12,21 186294 SGN 00,Sign Permit,"Jul 20, 2021",Closed,121 BLOOR ST E
13,20 207017 PLB 00,Plumbing(PS),"Oct 22, 2020",Inspection,121 BLOOR ST E
14,20 207017 BLD 00,Building Additions/Alterations,"Oct 19, 2020",Inspection,121 BLOOR ST E
15,19 187162 BLD 00,Building Additions/Alterations,"Jul 12, 2019",Inspection,121 BLOOR ST E
16,19 108629 BLD 00,Building Additions/Alterations,"Jan 25, 2019",Inspection,121 BLOOR ST E
17,18 209795 FSU 00,Fire/Security Upgrade,"Aug 16, 2018",Inspection,121 BLOOR ST E
18,18 192407 BLD 00,Building Additions/Alterations,"Jul 11, 2018",Inspection,121 BLOOR ST E
19,18 192407 HVA 00,Mechanical(MS),"Jul 11, 2018",Inspection,121 BLOOR ST E
20,18 172010 BLD 00,Building Additions/Alterations,"Jun 6, 2018",Inspection,121 BLOOR ST E
21,18 163753 BLD 00,Building Additions/Alterations,"May 24, 2018",Inspection,121 BLOOR ST E
22,18 163753 HVA 00,Mechanical(MS),"May 24, 2018",Permit Issued,121 BLOOR ST E
23,18 164113 BLD 00,Building Additions/Alterations,"May 24, 2018",Inspection,121 BLOOR ST E
24,18 164113 HVA 00,Mechanical(MS),"May 24, 2018",Inspection,121 BLOOR ST E
25,17 260128 MSA 00,Mechanical(MS),"Nov 9, 2017",Permit Issued,121 BLOOR ST E
26,17 121103 FSU 00,Fire/Security Upgrade,"Mar 20, 2017",Inspection,121 BLOOR ST E
27,16 255754 FSU 00,Fire/Security Upgrade,"Nov 25, 2016",Inspection,121 BLOOR ST E
28,16 243676 HVA 00,Mechanical(MS),"Nov 1, 2016",Permit Issued,121 BLOOR ST E
29,16 243676 PLB 00,Plumbing(PS),"Nov 1, 2016",Permit Issued,121 BLOOR ST E
30,16 243676 BLD 00,Building Additions/Alterations,"Oct 27, 2016",Inspection,121 BLOOR ST E
31,15 241771 FSU 00,Fire/Security Upgrade,"Oct 26, 2015",Inspection,121 BLOOR ST E
32,15 166585 HVA 00,Mechanical(MS),"Jun 3, 2015",Permit Issued,121 BLOOR ST E
33,15 166585 BLD 00,Building Additions/Alterations,"Jun 2, 2015",Inspection,121 BLOOR ST E
34,14 188654 FSU 00,Fire/Security Upgrade,"Jul 11, 2014",Inspection,121 BLOOR ST E
0,23 116024 HVA 00,Mechanical(MS),"Feb 23, 2023",Permit Issued,130 BLOOR ST W
1,23 116024 PLB 00,Plumbing(PS),"Feb 23, 2023",Permit Issued,130 BLOOR ST W
2,23 116024 BLD 00,Building Additions/Alterations,"Feb 22, 2023",Permit Issued,130 BLOOR ST W
3,22 199594 BLD 00,Building Additions/Alterations,"Sep 9, 2022",Inspection,130 BLOOR ST W
4,22 199594 HVA 00,Mechanical(MS),"Sep 9, 2022",Closed,130 BLOOR ST W
5,18 259269 BLD 02,Building Additions/Alterations,"Jan 9, 2020",Revision Issued,130 BLOOR ST W
6,18 259269 HVA 02,Mechanical(MS),"Jan 9, 2020",Revision Issued,130 BLOOR ST W
7,18 259269 BLD 01,Building Additions/Alterations,"Feb 22, 2019",Revision Issued,130 BLOOR ST W
8,18 259269 HVA 01,Mechanical(MS),"Feb 22, 2019",Revision Issued,130 BLOOR ST W
9,18 259269 BLD 00,Building Additions/Alterations,"Nov 21, 2018",Inspection,130 BLOOR ST W
10,18 259269 HVA 00,Mechanical(MS),"Nov 21, 2018",Inspection,130 BLOOR ST W
